Monitoring sys_clone events...
Process gsd-media-keys (PID: 2829, PPID: 2267) called sys_clone
Process gsd-media-keys (PID: 15514, PPID: 2829) called sys_clone
Process gnome-terminal- (PID: 7600, PPID: 2267) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15541, PPID: 15523) called sys_clone
Process zsh (PID: 15541, PPID: 15523) called sys_clone
Process zsh (PID: 15542, PPID: 15541) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15542, PPID: 2267) called sys_clone
Process zsh (PID: 15542, PPID: 2267) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15549, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15554, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15558, PPID: 15523) called sys_clone
Process zsh (PID: 15558, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
